1.208.0.0/12 49
2.16.14.0/23 19
2.16.16.0/23 19
2.16.18.0/23 19
2.16.20.0/23 19
2.16.22.0/23 19
2.16.24.0/23 19
2.16.26.0/23 19
2.16.28.0/23 19
2.16.50.0/23 50
2.16.52.0/23 50
2.16.54.0/23 50
2.16.74.0/23 13
2.16.76.0/23 13
2.16.78.0/23 13
2.16.80.0/23 13
2.16.82.0/23 13
2.16.84.0/23 5
2.16.86.0/23 5
2.16.88.0/23 5
2.16.90.0/23 5
2.16.92.0/23 5
2.16.94.0/23 5
2.16.96.0/23 15
2.16.98.0/23 15
2.16.100.0/23 15
2.16.102.0/23 15
2.16.104.0/23 15
2.16.106.0/23 9
2.16.108.0/23 9
2.16.110.0/23 9
2.16.112.0/23 9
2.16.118.0/23 15
2.16.124.0/23 15
2.16.130.0/23 15
2.16.138.0/23 13
2.16.148.0/23 3
2.16.150.0/23 15
2.16.154.0/23 9
2.16.158.0/23 50
2.16.160.0/23 50
2.16.164.0/23 13
2.17.208.0/20 50
2.17.224.0/20 50
2.17.240.0/20 50
2.17.248.0/22 13
2.18.0.0/20 3
2.18.32.0/20 15
2.18.96.0/20 15
2.18.128.0/20 15
2.18.144.0/20 13
2.18.176.0/20 13
2.18.220.0/22 15
2.18.224.0/22 13
2.18.228.0/22 15
2.18.240.0/22 3
2.18.248.0/22 15
2.19.48.0/20 15
2.19.176.0/20 15
2.19.192.0/20 13
2.20.12.0/22 15
2.20.44.0/22 15
2.20.48.0/22 13
2.95.0.0/16 29
2.160.0.0/12 15
3.51.92.0/23 4
4.0.0.0/8 1
4.0.0.0/9 1
4.128.0.0/9 1
8.0.0.0/8 1
8.0.0.0/9 1
8.128.0.0/9 1
11.2.0.0/16 3
12.0.0.0/8 4
12.0.0.0/9 4
12.70.138.0/24 8
12.81.90.0/23 31
12.105.252.0/24 12
12.128.0.0/9 4
12.166.110.0/24 1
12.172.44.0/24 10
12.175.140.0/24 37
12.195.4.0/24 8
