5	I	1	4766	N	N
17	I	2	8447	N	N
76	I	3	34305	N	N
154	I	4	30628	N	N
232	I	5	10732	N	N
242	I	6	4750	N	N
247	I	7	9534	N	N
298	I	8	103	N	N
298	I	9	1761	N	N
306	I	10	10823	N	N
320	I	11	6453	N	N
322	I	12	237	N	N
357	I	13	21497	N	N
430	I	14	10026	N	N
448	I	15	21844	N	N
461	I	16	31	N	N
501	I	17	22773	N	N
501	I	18	2764	N	N
521	I	19	3786	N	N
545	I	20	14955	N	N
565	I	21	4812	N	N
597	I	22	6327	N	N
599	I	23	6263	N	N
617	I	24	16338	N	N
642	I	25	40060	N	N
650	I	26	3786	N	N
656	I	27	30304	N	N
657	I	28	7018	N	N
683	I	29	25689	N	N
688	I	30	3292	N	N
691	I	31	13802	N	N
713	I	32	12479	N	N
726	I	33	2860	N	N
740	I	34	19029	N	N
781	I	35	6057	N	N
792	I	36	26803	N	N
806	I	37	9856	N	N
810	I	38	27064	N	N
846	I	39	6327	N	N
868	I	40	20401	N	N
875	I	41	8218	N	N
910	I	42	20521	N	N
957	I	43	39927	N	N
969	I	44	6389	N	N
982	I	45	209	N	N
996	I	46	2828	N	N
1023	I	47	7132	N	N
1029	I	48	1239	N	N
1039	I	49	5769	N	N
1052	I	50	12322	N	N
1062	I	51	15834	N	N
1094	I	52	3786	N	N
1132	I	53	35714	N	N
1184	I	54	34368	N	N
1192	I	55	4651	N	N
1224	I	56	6327	N	N
1236	I	57	23504	N	N
1242	I	58	5511	N	N
1251	I	59	24560	N	N
1258	I	60	28303	N	N
1260	I	61	8439	N	N
1333	I	62	701	N	N
1346	I	63	4766	N	N
1357	I	64	7132	N	N
1357	I	65	7018	N	N
1384	I	66	6762	N	N
1449	I	67	3595	N	N
1471	I	68	6389	N	N
1486	I	69	3786	N	N
1509	I	70	6461	N	N
1577	I	71	4713	N	N
1581	I	72	7738	N	N
1582	I	73	19262	N	N
1601	I	74	4804	N	N
1614	I	75	6327	N	N
1625	I	76	3356	N	N
1684	I	77	2516	N	N
1710	I	78	11796	N	N
1755	I	79	174	N	N
1772	I	80	10026	N	N
1807	I	81	4766	N	N
1814	I	82	701	N	N
1865	I	83	9127	N	N
1887	I	84	559	N	N
1891	I	85	2768	N	N
1913	I	86	7018	N	N
2010	I	87	6461	N	N
2024	I	88	6356	N	N
2051	I	89	1299	N	N
2065	I	90	4837	N	N
2068	I	91	4766	N	N
2085	I	92	2200	N	N
2095	I	93	8560	N	N
2100	I	94	8685	N	N
2104	I	95	3939	N	N
2115	I	96	36752	N	N
2125	I	97	20485	N	N
2168	I	98	4589	N	N
2168	I	99	4766	N	N
2174	I	100	15412	N	N
2180	I	101	21826	N	N
2184	I	102	25534	N	N
2200	I	103	3356	N	N
2276	I	104	17557	N	N
2281	I	105	2843	N	N
2291	I	106	22915	N	N
2298	I	107	15500	N	N
2323	I	108	6389	N	N
2331	I	109	10240	N	N
2343	I	110	10113	N	N
2353	I	111	4766	N	N
2369	I	112	8220	N	N
2380	I	113	8220	N	N
2413	I	114	24724	N	N
2414	I	115	10358	N	N
2421	I	116	8220	N	N
2451	I	117	16637	N	N
2456	I	118	5515	N	N
2471	I	119	4766	N	N
