143.00, 0.01
143.00, 0.02
143.00, 0.03
143.00, 0.04
143.00, 0.05
143.00, 0.06
143.00, 0.07
143.00, 0.08
143.00, 0.09
143.00, 0.10
143.00, 0.11
143.00, 0.12
146.00, 0.13
146.00, 0.14
146.00, 0.15
146.00, 0.16
146.00, 0.17
146.00, 0.18
146.00, 0.19
146.00, 0.20
146.00, 0.21
146.00, 0.22
146.00, 0.23
146.00, 0.24
146.00, 0.25
146.00, 0.26
146.00, 0.27
146.00, 0.28
146.00, 0.29
146.00, 0.30
146.00, 0.31
146.00, 0.32
146.00, 0.33
146.00, 0.34
146.00, 0.35
146.00, 0.36
146.00, 0.37
217.00, 0.38
217.00, 0.39
217.00, 0.40
217.00, 0.41
217.00, 0.42
217.00, 0.43
217.00, 0.44
217.00, 0.45
217.00, 0.46
217.00, 0.47
217.00, 0.48
217.00, 0.49
217.00, 0.50
223.00, 0.51
223.00, 0.52
223.00, 0.53
223.00, 0.54
223.00, 0.55
223.00, 0.56
223.00, 0.57
223.00, 0.58
223.00, 0.59
223.00, 0.60
223.00, 0.61
223.00, 0.62
233.00, 0.63
233.00, 0.64
233.00, 0.65
233.00, 0.66
233.00, 0.67
233.00, 0.68
233.00, 0.69
233.00, 0.70
233.00, 0.71
233.00, 0.72
233.00, 0.73
233.00, 0.74
233.00, 0.75
253.00, 0.76
253.00, 0.77
253.00, 0.78
253.00, 0.79
253.00, 0.80
253.00, 0.81
253.00, 0.82
253.00, 0.83
253.00, 0.84
253.00, 0.85
253.00, 0.86
253.00, 0.87
2630.00, 0.88
2630.00, 0.89
2630.00, 0.90
2630.00, 0.91
2630.00, 0.92
2630.00, 0.93
2630.00, 0.94
2630.00, 0.95
2630.00, 0.96
2630.00, 0.97
2630.00, 0.98
2630.00, 0.99
2630.00, 1.00
