439.00, 0.01
439.00, 0.02
439.00, 0.03
439.00, 0.04
439.00, 0.05
439.00, 0.06
439.00, 0.07
439.00, 0.08
439.00, 0.09
439.00, 0.10
439.00, 0.11
445.00, 0.12
445.00, 0.13
445.00, 0.14
445.00, 0.15
445.00, 0.16
445.00, 0.17
445.00, 0.18
445.00, 0.19
445.00, 0.20
445.00, 0.21
445.00, 0.22
495.00, 0.23
495.00, 0.24
495.00, 0.25
495.00, 0.26
495.00, 0.27
495.00, 0.28
495.00, 0.29
495.00, 0.30
495.00, 0.31
495.00, 0.32
495.00, 0.33
501.00, 0.34
501.00, 0.35
501.00, 0.36
501.00, 0.37
501.00, 0.38
501.00, 0.39
501.00, 0.40
501.00, 0.41
501.00, 0.42
501.00, 0.43
501.00, 0.44
722.00, 0.45
722.00, 0.46
722.00, 0.47
722.00, 0.48
722.00, 0.49
722.00, 0.50
722.00, 0.51
722.00, 0.52
722.00, 0.53
722.00, 0.54
722.00, 0.55
757.00, 0.56
757.00, 0.57
757.00, 0.58
757.00, 0.59
757.00, 0.60
757.00, 0.61
757.00, 0.62
757.00, 0.63
757.00, 0.64
757.00, 0.65
757.00, 0.66
1093.00, 0.67
1093.00, 0.68
1093.00, 0.69
1093.00, 0.70
1093.00, 0.71
1093.00, 0.72
1093.00, 0.73
1093.00, 0.74
1093.00, 0.75
1093.00, 0.76
1093.00, 0.77
2322.00, 0.78
2322.00, 0.79
2322.00, 0.80
2322.00, 0.81
2322.00, 0.82
2322.00, 0.83
2322.00, 0.84
2322.00, 0.85
2322.00, 0.86
2322.00, 0.87
2322.00, 0.88
140068.98, 0.89
140068.98, 0.90
140068.98, 0.91
140068.98, 0.92
140068.98, 0.93
140068.98, 0.94
140068.98, 0.95
140068.98, 0.96
140068.98, 0.97
140068.98, 0.98
140068.98, 0.99
140068.98, 1.00
